Major,Degree Type,Type,Filename,URL,Status
Entrepreneurship,AS,Course Sequence,Entrepreneurship_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Fashion Design,AS,Course List,Fashion_Design_Course_list_2025.pdf,N/A (existing file),Already Exists
Fashion Design,AS,Course Sequence,Fashion_Design_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Fashion Merchandising,AS,Course List,Fashion_Merchandising_Course_list_2025.pdf,N/A (existing file),Already Exists
Fashion Merchandising,AS,Course Sequence,Fashion_Merchandising_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Film Production Technology,AS,Course List,Film_Production_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Film Production Technology,AS,Course Sequence,Film_Production_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Financial Services - Banking,AS,Course List,Financial_Services_-_Banking_Course_list_2025.pdf,N/A (existing file),Already Exists
Financial Services - Banking,AS,Course Sequence,Financial_Services_-_Banking_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Financial Services - Wealth Management,AS,Course List,Financial_Services_-_Wealth_Management_Course_list_2025.pdf,N/A (existing file),Already Exists
Financial Services - Wealth Management,AS,Course Sequence,Financial_Services_-_Wealth_Management_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Fire Science Technology,AS,Course List,Fire_Science_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Fire Science Technology,AS,Course Sequence,Fire_Science_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
